0.140	0.238	28.881
0.288	0.493	28.881
0.529	0.910	28.882
1.005	1.722	28.883
1.487	2.538	28.881
2.088	3.545	28.878
2.727	4.611	28.879
3.297	5.596	28.880
3.803	6.489	28.880
4.421	7.579	28.877
4.982	8.570	28.874
5.487	9.462	28.872
6.105	10.552	28.871
6.723	11.642	28.870
7.228	12.534	28.869
7.733	13.427	28.867
8.294	14.418	28.865
8.911	15.509	28.861
9.407	16.387	28.858
10.021	17.476	28.854
10.582	18.467	28.852
11.143	19.458	28.850
11.703	20.449	28.848
12.264	21.441	28.847
12.881	22.531	28.847
13.386	23.422	28.848
13.890	24.314	28.849
14.507	25.405	28.851
15.012	26.296	28.854
15.574	27.288	28.857
16.136	28.279	28.858
16.699	29.270	28.857
17.260	30.263	28.853
17.865	31.335	28.850
18.480	32.426	28.851
18.984	33.318	28.853
19.544	34.309	28.856
20.048	35.201	28.860
20.664	36.292	28.864
21.280	37.382	28.869
21.729	38.175	28.871
22.347	39.266	28.873
22.908	40.257	28.874
23.469	41.248	28.875
24.062	42.297	28.876
24.506	43.083	28.878
24.834	43.667	28.879
25.061	44.071	28.885
25.154	44.230	28.885
25.105	44.137	28.882
