0.140	0.244	28.881
0.333	0.578	28.881
0.665	1.151	28.882
1.098	1.893	28.883
1.658	2.840	28.879
2.200	3.749	28.878
2.775	4.713	28.879
3.358	5.692	28.880
3.943	6.670	28.879
4.528	7.648	28.876
5.053	8.529	28.873
5.579	9.410	28.871
6.222	10.485	28.869
6.865	11.561	28.868
7.449	12.538	28.866
8.033	13.517	28.863
8.501	14.300	28.861
9.133	15.362	28.857
9.714	16.338	28.853
10.297	17.318	28.850
10.880	18.297	28.848
11.522	19.374	28.846
12.047	20.255	28.844
12.572	21.136	28.843
13.155	22.114	28.842
13.797	23.190	28.843
14.380	24.168	28.844
14.847	24.950	28.845
15.489	26.025	28.847
16.074	27.003	28.849
16.717	28.078	28.848
17.302	29.057	28.846
17.884	30.036	28.843
18.408	30.917	28.842
19.048	31.993	28.843
19.688	33.069	28.847
20.271	34.046	28.851
20.853	35.024	28.856
21.320	35.807	28.859
21.961	36.883	28.863
22.487	37.763	28.865
23.129	38.839	28.866
23.713	39.816	28.866
24.355	40.891	28.866
24.932	41.873	28.868
25.506	42.855	28.870
26.020	43.740	28.876
26.480	44.651	28.886
26.866	45.720	28.896
27.209	46.806	28.901
27.586	48.001	28.904
27.870	49.103	28.904
27.992	50.230	28.904
28.017	51.368	28.906
27.996	52.620	28.908
27.820	53.739	28.911
27.479	54.824	28.913
27.127	55.787	28.914
26.687	56.837	28.914
26.226	57.878	28.914
25.649	58.855	28.912
24.904	59.710	28.909
23.897	60.635	28.907
23.194	61.213	28.906
22.385	61.843	28.905
21.385	62.597	28.905
20.447	63.241	28.906
19.387	63.910	28.904
18.423	64.518	28.903
17.452	65.113	28.901
16.558	65.615	28.900
15.664	66.117	28.897
14.572	66.729	28.893
13.596	67.277	28.891
12.602	67.835	28.888
11.509	68.449	28.884
10.632	68.942	28.882
9.541	69.555	28.880
8.548	70.113	28.878
7.653	70.615	28.875
6.661	71.174	28.872
5.767	71.676	28.871
4.675	72.290	28.870
3.682	72.848	28.868
2.689	73.407	28.868
1.499	74.076	28.868
0.707	74.525	28.870
-0.159	75.070	28.874
-1.204	75.757	28.882
-2.154	76.380	28.892
-3.073	77.042	28.907
-3.894	77.822	28.920
-4.714	78.767	28.930
-5.452	79.634	28.935
-6.098	80.428	28.938
-6.656	81.281	28.942
-7.109	82.319	28.944
-7.498	83.509	28.947
-7.820	84.599	28.949
-8.015	85.716	28.949
-8.003	86.849	28.947
-7.893	87.753	28.942
-7.558	89.193	28.934
-7.288	90.162	28.929
-6.978	91.259	28.923
-6.600	92.430	28.919
-6.175	93.359	28.914
-5.705	94.254	28.910
-5.120	95.355	28.906
-4.586	96.360	28.905
-4.000	97.467	28.906
-3.511	98.367	28.908
-3.002	99.258	28.907
-2.437	100.248	28.906
-1.929	101.138	28.904
-1.311	102.226	28.907
-0.715	103.275	28.908
-0.228	104.130	28.908
0.030	104.584	28.907
0.339	105.129	28.906
0.618	105.621	28.906
0.830	105.993	28.906
1.045	106.371	28.906
1.169	106.590	28.906
1.295	106.811	28.906
1.432	107.052	28.906
1.512	107.191	28.909
